Judul,Link
"
					Man City Dalam Tekanan Besar Jelang Lawan Liverpool                ",https://sport.detik.com/sepakbola/liga-inggris/d-7660471/man-city-dalam-tekanan-besar-jelang-lawan-liverpool
"
					Rafael Leao: Fonseca Tahu Saya Tak Suka Dicadangkan                ",https://sport.detik.com/sepakbola/liga-italia/d-7660487/rafael-leao-fonseca-tahu-saya-tak-suka-dicadangkan
"
					Tak Ada Alisson, Kelleher pun Jadi!                ",https://sport.detik.com/sepakbola/uefa/d-7660470/tak-ada-alisson-kelleher-pun-jadi
"
					Gol Aston Villa Lawan Juve Dianulir, Emery: Kejam Banget                ",https://sport.detik.com/sepakbola/uefa/d-7660469/gol-aston-villa-lawan-juve-dianulir-emery-kejam-banget
"
					Mbappe dan Salah Gagal Penalti, Slot: Namanya Juga Manusia!                ",https://sport.detik.com/sepakbola/uefa/d-7660455/mbappe-dan-salah-gagal-penalti-slot-namanya-juga-manusia
"
					Klasemen Liga Champions: Liverpool Teratas, Madrid Ke-24                ",https://sport.detik.com/sepakbola/uefa/d-7660453/klasemen-liga-champions-liverpool-teratas-madrid-ke-24
"
					Mancini Menyesal Tinggalkan Italia Demi Arab Saudi                ",https://sport.detik.com/sepakbola/bola-dunia/d-7660450/mancini-menyesal-tinggalkan-italia-demi-arab-saudi
"
					Hasil Liga Champions Dinihari Tadi: Liverpool Menang, Juventus Seri                ",https://sport.detik.com/sepakbola/uefa/d-7660440/hasil-liga-champions-dinihari-tadi-liverpool-menang-juventus-seri
"
					Liga Champions: Aston Villa Vs Juventus Berakhir Imbang                ",https://sport.detik.com/sepakbola/uefa/d-7660437/liga-champions-aston-villa-vs-juventus-berakhir-imbang
"
					Zagreb Vs Dortmund: Die Borussen Menang 3-0                ",https://sport.detik.com/sepakbola/uefa/d-7660435/zagreb-vs-dortmund-die-borussen-menang-3-0
"
					Liverpool vs Madrid: Diwarnai 2 Penalti Gagal, Si Merah Menang 2-0                ",https://sport.detik.com/sepakbola/uefa/d-7660434/liverpool-vs-madrid-diwarnai-2-penalti-gagal-si-merah-menang-2-0
"
					Zagreb Vs Dortmund: Die Borussen unggul 1-0 di Babak Pertama                ",https://sport.detik.com/sepakbola/uefa/d-7660429/zagreb-vs-dortmund-die-borussen-unggul-1-0-di-babak-pertama
"
					Liverpool Vs Real Madrid Sama Kuat di Babak Pertama                ",https://sport.detik.com/sepakbola/uefa/d-7660427/liverpool-vs-real-madrid-sama-kuat-di-babak-pertama
"
					Kompany Masih Bingung Format Baru Liga Champions                ",https://sport.detik.com/sepakbola/uefa/d-7660381/kompany-masih-bingung-format-baru-liga-champions
"
					Ukir Rekor di Liga Champions, De Ketelaere Samai Messi-Haaland                ",https://sport.detik.com/sepakbola/uefa/d-7660382/ukir-rekor-di-liga-champions-de-ketelaere-samai-messi-haaland
"
					Amorim Masih Percaya sama Casemiro                ",https://sport.detik.com/sepakbola/liga-inggris/d-7660328/amorim-masih-percaya-sama-casemiro
"
					ODFFT Digelar Lagi, IATMI FC Juara di 2024                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7660056/odfft-digelar-lagi-iatmi-fc-juara-di-2024
"
					PSG Terseok ke Jurang Liga Champions                ",https://sport.detik.com/sepakbola/uefa/d-7660058/psg-terseok-ke-jurang-liga-champions
"
					Momen Gabriel Magalhaes Ledek Gyokeres sampai Dikritik Legenda Arsenal                ",https://sport.detik.com/sepakbola/foto-sepakbola/d-7660049/momen-gabriel-magalhaes-ledek-gyokeres-sampai-dikritik-legenda-arsenal
"
					Piala AFF 2024 Panggungnya Pelatih asal Korea Selatan dan Jepang!                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7660055/piala-aff-2024-panggungnya-pelatih-asal-korea-selatan-dan-jepang
"
					7 Top Skor Liga Champions Sepanjang Masa, Lewandowski Sudah 101 Gol                ",https://sport.detik.com/sepakbola/foto-sepakbola/d-7660040/7-top-skor-liga-champions-sepanjang-masa-lewandowski-sudah-101-gol
"
					Catatan-catatan Kelam Manchester City Kini                ",https://sport.detik.com/sepakbola/foto-sepakbola/d-7659995/catatan-catatan-kelam-manchester-city-kini
"
					7 Rekor di Piala AFF: Ada Kemenangan Terbesar Indonesia!                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7659992/7-rekor-di-piala-aff-ada-kemenangan-terbesar-indonesia
"
					Piala AFF 2024: Thailand Tanpa Chanatip, Theerathon, Dangda, Supachai                ",https://sport.detik.com/sepakbola/liga-indonesia/d-7659984/piala-aff-2024-thailand-tanpa-chanatip-theerathon-dangda-supachai
